from_node,to_node,effect_size,evidence_tier,method,e_value,data_source,graph_version,is_demoted
PCSK9,coronary artery disease,0.8124,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.8124,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.8124,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.8124,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.8124,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.8124,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.8124,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.7882,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.2517,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
PCSK9,coronary artery disease,0.2517,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.214,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,0.1976,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,-0.2729,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
LDLR,coronary artery disease,-0.2729,Tier1_Interventional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
HMGCR,coronary artery disease,0.24,Tier3_Provisional,ota_gamma,,Ota2026_composite_gamma,0.1.0,False
